size,mflop
31,2299.38
32,2357.74
96,2332.95
97,2235.17
127,2314.53
128,2346.23
129,2294.73
191,2353.51
192,2365.56
229,2315.97
255,2338.79
256,2294.77
257,2461.39
319,2525.59
320,2530.9
321,2509.36
417,2492.13
479,2513.42
480,2496.68
511,2391.02
512,2359.53
639,2481.67
640,2483.36
767,2444.14
768,2444.09
769,2438.81
1023,2347.45
1024,2138.77
1025,2337
1525,2350.43
1526,2379.23
1527,2439.96
